1990 census,,,,,,,,,,,,,,,,,,,,,,
STATE,COUNTY,StateCounty,HHLDS,GINI,,----------------------INCOME BY QUINTILE LIMIT----------,,, ,COUNTY,,,---------------MEAN INCOME BY QUINTILE----------,,,95%,,,---------------PERCENT SHARE BY QUINTILE----------,,,95%
,,,,,FIRST,SECOND,THIRD,FOURTH,95 %ile,MEAN,FIRST,SECOND,THIRD,FOURTH,FIFTH,MEAN,FIRST,SECOND,THIRD,FOURTH,FIFTH,SHARE
Alabama,HALE,01065,5381,0.540131093,5330,10135,19000,34000,61000,23502,3241,7723,14241,25510,66796,131347,0.02758,0.06572,0.12119,0.21708,0.56842,0.27944
Alabama,HENRY,01067,5727,0.417612487,8050,17000,27600,40000,62000,26331,4635,12697,22167,33179,58978,88187,0.03524,0.09644,0.16837,0.252,0.44795,0.16745
Alabama,HOUSTON,01069,30856,0.457505074,9265,19100,30000,46000,77200,31709,5053,14251,24577,37298,77367,135898,0.03201,0.08987,0.15499,0.23521,0.48791,0.21426
Alabama,JACKSON,01071,18099,0.428933873,8135,17575,26800,40000,65225,26845,4647,12868,21989,33048,61674,99295,0.0347,0.09586,0.16381,0.24619,0.45944,0.18492
Alabama,JEFFERSON,01073,251258,0.470363794,10000,20000,31895,49490,85100,34235,5163,14939,25750,39778,85548,154815,0.03019,0.08727,0.15042,0.23237,0.49975,0.2261
Alabama,LAMAR,01075,5994,0.441239508,7200,16000,26000,38500,60820,25545,4234,11291,20557,32304,59339,97738,0.03315,0.0884,0.16094,0.25292,0.46459,0.19131
Alabama,LAUDERDALE,01077,30699,0.443736141,9075,18300,30000,45910,75700,30105,4982,13592,23711,37132,71107,114198,0.0331,0.09029,0.15752,0.24669,0.47239,0.18967
Alabama,LAWRENCE,01079,11476,0.43291049,8160,16130,27000,41200,65500,26660,4769,11872,21509,33661,61487,94083,0.03578,0.08907,0.16136,0.25252,0.46127,0.17645
Alabama,LEE,01081,32998,0.514003582,5960,15000,28055,46800,79925,29674,2673,10091,21349,36260,77996,136799,0.01806,0.06801,0.14389,0.24438,0.52567,0.2305
Alabama,LIMESTONE,01083,19755,0.415614255,10000,20765,33000,49055,75000,31723,5418,15358,26929,40579,70333,103480,0.03416,0.09682,0.16977,0.25583,0.44342,0.1631
Alabama,LOWNDES,01085,4075,0.4931109,4945,11185,20210,33300,60500,21604,2513,7953,15529,26613,55414,89026,0.02367,0.07359,0.1437,0.24626,0.51278,0.20595
Alabama,MACON,01087,8522,0.490179968,5000,11500,19580,33755,57500,21277,2455,8053,15453,26196,54228,87728,0.02308,0.07569,0.14526,0.24624,0.50973,0.20616
Alabama,MADISON,01089,91361,0.414495956,14425,27000,40000,58700,93100,40002,7595,20661,33143,48304,90306,144301,0.03805,0.10329,0.16569,0.24149,0.45148,0.18035
Alabama,MARENGO,01091,8105,0.487848653,5975,13000,24100,44300,69730,26009,3320,9137,18479,33281,65829,97330,0.02557,0.07026,0.14209,0.25591,0.50617,0.1871
Alabama,MARION,01093,11457,0.466854267,7200,14210,23000,35000,57400,24788,4411,10709,18425,28452,61944,115946,0.03566,0.08639,0.14865,0.22955,0.49975,0.23386
Alabama,MARSHALL,01095,27708,0.43663778,8200,16795,26585,41385,66000,27187,4863,12445,21467,33522,63640,101093,0.0359,0.09154,0.1579,0.24657,0.46809,0.18589
Alabama,MOBILE,01097,137404,0.472136897,8400,17960,28905,44500,74680,30288,4130,13081,23065,35822,75343,134399,0.02735,0.08637,0.15229,0.23652,0.49747,0.22185
Alabama,MONROE,01099,8312,0.442582147,7200,15560,27150,42680,65215,26586,4124,11368,21261,34363,61815,90431,0.03105,0.08551,0.15994,0.2585,0.465,0.17007
Alabama,MONTGOMERY,01101,77014,0.453633569,10225,20500,32800,50000,84000,34040,5304,15557,26488,40620,82232,141046,0.03118,0.0914,0.15562,0.23865,0.48314,0.20717
Alabama,MORGAN,01103,37687,0.418031318,11535,22295,34140,50710,78000,33765,6069,16791,28178,41951,75834,120244,0.03604,0.09945,0.16689,0.24847,0.44915,0.17805
Alabama,PERRY,01105,4164,0.521392861,4775,9830,18000,29150,56300,20372,2441,6733,13809,23390,55485,99470,0.02431,0.06608,0.13552,0.22955,0.54454,0.24405
Alabama,PICKENS,01107,7670,0.456034443,6000,12480,23500,37000,59435,22941,3474,9165,17632,29759,54673,81817,0.03029,0.0799,0.15372,0.25944,0.47664,0.17832
Alabama,PIKE,01109,10270,0.51228654,5000,12535,22000,37655,66045,24553,2826,8350,17242,29330,65015,116776,0.02308,0.06801,0.14044,0.2389,0.52957,0.23779
Alabama,RANDOLPH,01111,7541,0.427391815,7220,15000,24030,36625,60000,23829,4101,11121,19409,29965,54551,80725,0.03474,0.09331,0.16285,0.25141,0.45769,0.16933
Alabama,RUSSELL,01113,17480,0.440067203,7055,16400,25320,39600,64285,25575,3741,11767,20872,31922,59574,91125,0.02925,0.09202,0.16322,0.24963,0.46587,0.17815
Alabama,ST CLAIR,01115,17579,0.430915363,10000,19250,29800,42800,71110,29750,5405,14518,23998,35748,69078,117141,0.03646,0.09759,0.16131,0.2403,0.46434,0.19685
Alabama,SHELBY,01117,35843,0.416116315,16400,30000,44500,64000,103685,44813,8651,23295,36912,53489,101719,169324,0.03866,0.10396,0.16473,0.2387,0.45394,0.18891
Alabama,SUMTER,01119,5566,0.568394396,4800,9140,18000,30500,63100,22290,2404,6622,13064,23245,66117,133599,0.02157,0.05941,0.11721,0.20856,0.59323,0.29968
Alabama,TALLADEGA,01121,26530,0.443005472,8000,16135,26000,40590,66000,26711,4377,12128,21222,32753,63073,100628,0.03277,0.09081,0.1589,0.24525,0.47227,0.18837
Alabama,TALLAPOOSA,01123,14701,0.460342517,8420,16925,27430,41910,69000,28719,4752,12530,22047,33846,70420,124792,0.03321,0.08725,0.15352,0.23567,0.49035,0.21724
Alabama,TUSCALOOSA,01125,55045,0.477484793,8000,17235,29400,46100,77000,30644,3978,12556,23076,37103,76507,132230,0.02603,0.08194,0.1506,0.24213,0.49929,0.21574
Alabama,WALKER,01127,25616,0.447823351,8065,16000,25915,40435,64050,26585,4482,11888,20515,32664,63374,103494,0.03384,0.08943,0.15432,0.2457,0.47671,0.19462
Alabama,WASHINGTON,01129,5732,0.434919654,7000,14420,25000,38500,60160,24156,3574,10587,19879,31665,55075,78225,0.03018,0.0876,0.16449,0.26201,0.45572,0.16182
Alabama,WILCOX,01131,4408,0.53163659,4600,9000,17000,30000,59600,19863,2198,6569,12666,22448,55434,97943,0.02258,0.06611,0.12748,0.22592,0.55791,0.24643
Alabama,WINSTON,01133,8510,0.45634794,7255,14100,22560,35000,60800,24059,4314,10630,18013,28241,59098,100940,0.03609,0.08835,0.1497,0.2347,0.49116,0.20972
Alaska,ALEUTIANS EAST,02013,534,0.444779941,20000,38620,49750,69500,142105,55850,10810,29435,43517,56798,138689,266417,0.03871,0.10541,0.15584,0.20339,0.49665,0.23851
Alaska,ALEUTIANS WEST,02016,1849,0.360618126,20000,29000,41000,62830,101490,43354,13670,24558,34780,51958,91802,130233,0.06338,0.11325,0.16039,0.23961,0.42336,0.15015
Alaska,ANCHORAGE,02020,83043,0.393316116,21000,35880,52400,77000,120600,52809,12298,28399,43931,63887,115530,182487,0.04664,0.10755,0.16636,0.24194,0.43751,0.17277
Alaska,BETHEL,02050,3608,0.454490655,9040,19140,32720,54745,86745,32962,4607,13671,25642,42260,78630,113668,0.02796,0.08295,0.15558,0.25641,0.47709,0.17242
Alaska,BRISTOL BAY BOROUGH,02060,417,0.343201651,24000,40765,60020,76800,106500,53347,12833,31787,50297,69420,102397,138020,0.04811,0.11917,0.18857,0.26026,0.38389,0.12936
,,02068,,,0,0,0,0,0,,,,,,,,,,,,,
Alaska,BRISTOL BAY DIVISION,02070,1212,0.51391894,10645,22310,37890,60500,104590,43063,5622,15670,29583,49082,115359,223933,0.02611,0.07278,0.1374,0.22795,0.53577,0.26
Alaska,FAIRBANKS,02090,26831,0.389274144,17475,30875,45625,65610,100000,44593,10134,24119,37668,55003,96042,146933,0.04557,0.10816,0.16892,0.24666,0.43069,0.16473
Alaska,HAINES,02100,806,0.387607336,15775,28860,44540,62745,101775,42581,8866,23168,36231,54055,90585,131338,0.04174,0.10881,0.17016,0.25387,0.42543,0.15421
Alaska,JUNEAU,02110,9958,0.337875836,24775,40475,56000,78175,112345,53161,15193,32426,48039,65890,104259,140923,0.05716,0.12199,0.18073,0.24789,0.39224,0.13254
Alaska,KENEI PENINSULA,02122,14323,0.407090812,18420,34745,51745,73500,113875,50816,10355,26274,42930,61667,112853,185269,0.04076,0.10341,0.16896,0.24271,0.44416,0.18229
Alaska,KETCHIKAN,02130,4969,0.35955134,24080,37800,52500,73000,109455,52033,14426,30795,45204,62239,107500,168918,0.05545,0.11837,0.17375,0.23923,0.4132,0.16232
Alaska,KODIAK,02150,4108,0.448828344,21875,38245,52745,78045,143075,60529,13238,30172,44929,63967,150340,305535,0.04374,0.09969,0.14845,0.21136,0.49675,0.25239
Alaska,LAKE AND PENINSULA BORO,02164,511,0.491219795,10710,19000,30100,56660,108430,36121,5062,14415,24564,41533,95031,151408,0.02803,0.07982,0.13601,0.22996,0.52618,0.20958
Alaska,MATANUSKA-SUSITNA,02170,13501,0.388477653,18330,33165,47875,68515,101745,46310,9339,25519,40607,57240,98845,148809,0.04046,0.11019,0.17535,0.24717,0.42683,0.16064
Alaska,NOME,02180,2407,0.435151145,11000,22535,37985,60415,93070,36654,5522,15805,30221,47439,84282,113399,0.03013,0.08624,0.1649,0.25885,0.45988,0.15469
Alaska,NORTH SLOPE BOROUGH,02185,1688,0.38020536,23990,41850,58285,88875,135530,58845,12671,33939,50345,72846,124424,180278,0.04307,0.11535,0.17111,0.24759,0.42289,0.15318
Alaska,NORTH WEST ARTIC BOROUGH,02188,1543,0.416831046,13380,26705,40255,59145,94740,39885,7475,19600,33343,48381,90625,133812,0.03748,0.09828,0.16719,0.24261,0.45444,0.16775
Alaska,PRINCE OF WALES-KETCHIKAN,02201,2068,0.369753144,17875,33640,45875,61745,94660,43106,8820,25405,39475,53423,88406,129875,0.04095,0.11787,0.18315,0.24786,0.41017,0.15064
Alaska,SITKA,02220,2933,0.327481367,23875,36620,50875,67595,94850,47787,14267,30099,43490,58977,92099,130271,0.06086,0.12582,0.1818,0.24654,0.38499,0.13614
Alaska,"SKAGWAY, YAKUKAT-ANGOON",02231,1413,0.368589251,18365,32460,45000,60950,91000,43690,10611,25991,38796,51454,91600,142545,0.0487,0.11896,0.17757,0.23551,0.41926,0.16311
,,02232,,,0,0,0,0,0,,,,,,,,,,,,,
Alaska,SOUTHEAST FAIRBANKS,02240,1918,0.401526124,13915,24745,37000,55745,89160,36907,7896,19228,30227,45492,81691,118594,0.04279,0.1042,0.1638,0.24652,0.44269,0.16067
Alaska,VALDEZ-CORDOVA,02261,3430,0.451252583,19220,37440,59655,89385,150350,61815,10499,28162,48044,73669,148702,268693,0.03397,0.09112,0.15544,0.23835,0.48112,0.21734
Alaska,WADE HAMPTON,02270,1378,0.432412268,9545,16455,26150,41740,76145,27321,5570,12636,20729,33291,64380,98926,0.04077,0.0925,0.15174,0.2437,0.47128,0.18104
Alaska,WRANGELL-PETERSBURG,02280,2478,0.400871397,21345,35000,50820,71745,115045,52297,12288,28941,42381,59799,118074,201672,0.04699,0.11068,0.16208,0.22869,0.45156,0.19281
,,02282,,,0,0,0,0,0,,,,,,,,,,,,,
Alaska,YUKON-KOYUKUK,02290,2774,0.466139192,8565,17015,31825,52000,85500,32007,4288,12497,24058,41658,77536,113971,0.02681,0.07809,0.15033,0.2603,0.48448,0.17804
Arizona,APACHE,04001,16237,0.509143809,4235,9600,19325,34800,59000,20331,1781,6563,14194,26325,52793,79060,0.01752,0.06456,0.13963,0.25896,0.51933,0.19443
Arizona,COCHISE,04003,35140,0.426973083,9320,17600,28000,42000,69530,28041,5141,13336,22593,34558,64578,99279,0.03673,0.09511,0.16113,0.24647,0.46056,0.17701
Arizona,COCONINO,04005,30167,0.438367236,10000,20375,31960,48150,80000,32206,5110,15221,25984,39419,75298,120766,0.03176,0.09452,0.16135,0.24478,0.46758,0.18748
Arizona,GILA,04007,15621,0.433541101,8590,16705,25840,39000,65170,26349,4614,12710,21061,31706,61654,100286,0.03554,0.09642,0.15978,0.24053,0.46773,0.1902
Arizona,GRAHAM,04009,8147,0.437504866,7995,14590,22630,36000,63000,23831,4413,10987,18456,28910,56389,86671,0.03704,0.09221,0.15489,0.24263,0.47324,0.18184
Arizona,GREENLEE,04011,2777,0.353081216,11940,22000,31000,40000,63500,28271,6389,16801,26990,35259,55919,77559,0.0452,0.11886,0.19093,0.24943,0.39558,0.13717
Arizona,LA PAZ,04012,5427,0.48832029,7000,12470,21000,34260,64000,23540,3447,9810,16554,26769,61119,111358,0.0294,0.08334,0.14063,0.22741,0.51923,0.2365
Arizona,MARICOPA,04013,808162,0.430940883,14060,25000,37000,54830,93430,38996,7819,19524,30684,44928,92027,161872,0.04021,0.10012,0.15735,0.23039,0.47192,0.20753
Arizona,MOHAVE,04015,36778,0.408001192,12000,19360,29000,42515,71615,29902,6923,15568,23962,35028,68027,110750,0.04644,0.10412,0.16025,0.23425,0.45494,0.18516
Arizona,NAVAJO,04017,22504,0.464587082,6340,14500,25000,40800,64000,25167,3040,10292,19497,32572,60436,92982,0.02416,0.08179,0.15494,0.25885,0.48027,0.18473
Arizona,PIMA,04019,262129,0.452692148,10800,20000,31000,47450,81710,33127,5812,15371,25267,38264,80920,143104,0.03524,0.09279,0.15252,0.23098,0.48847,0.21596
Arizona,PINAL,04021,39181,0.417933805,8990,16900,26000,39000,64730,26000,4986,12847,21270,31860,59038,90637,0.03847,0.09881,0.16359,0.24505,0.45408,0.17428
Arizona,SANTA CRUZ,04023,8873,0.467639539,9200,16865,27500,42520,74000,29852,5070,13049,22108,34355,74676,137701,0.03441,0.08739,0.14805,0.23006,0.50009,0.23054
Arizona,YAVAPAI,04025,44915,0.427836268,10345,18000,26745,40495,71385,28523,6014,14149,22155,33049,67248,114529,0.04261,0.09917,0.15528,0.23163,0.47132,0.20067
Arizona,YUMA,04027,35827,0.422891827,11200,19000,28350,44420,72300,29912,6113,14993,23603,35398,69453,112634,0.04088,0.10025,0.15781,0.23668,0.46438,0.18827
Arkansas,ARKANSAS,05001,8467,0.507371261,7800,15875,23410,39000,67700,28483,3961,11781,19344,31006,76322,157910,0.02815,0.08269,0.13578,0.21764,0.53573,0.2771
Arkansas,ASHLEY,05003,8886,0.435283039,8220,16015,26200,42035,65000,26427,4678,11874,20734,33496,61353,93820,0.03562,0.08984,0.15688,0.25344,0.46422,0.17747
Arkansas,BAXTER,05005,13526,0.425990064,9550,15425,22140,33815,61930,24541,5700,12476,18788,27147,58593,103599,0.04672,0.10165,0.15307,0.22118,0.47738,0.21102
Arkansas,BENTON,05007,37517,0.398494397,13000,21320,30985,44000,73030,31722,7642,17138,26012,37034,70784,119672,0.0483,0.10804,0.16398,0.23346,0.44622,0.1886
Arkansas,BOONE,05009,11097,0.423063947,8790,16500,25000,37000,61000,25635,5108,12728,20537,30497,59306,99330,0.04059,0.09923,0.1601,0.23775,0.46233,0.19359
Arkansas,BRADLEY,05011,4525,0.457625971,6520,13200,21550,35495,58540,22722,3513,9323,17103,28615,55058,82868,0.03177,0.08199,0.15041,0.25164,0.48419,0.18219
Arkansas,CALHOUN,05013,2197,0.419578972,7625,16800,24715,37000,53775,24911,4674,12358,20975,30031,56518,93422,0.03753,0.09922,0.1684,0.2411,0.45375,0.18751
Arkansas,CARROLL,05015,7597,0.413291444,9600,16120,25000,35040,57605,24928,5298,12733,20508,29430,56672,97504,0.04321,0.10208,0.16442,0.23595,0.45434,0.19542
Arkansas,CHICOT,05017,5503,0.530004044,4810,9830,17600,30060,60000,20981,2721,7382,13024,22969,58812,109010,0.02594,0.07036,0.12415,0.21895,0.56061,0.25978
Arkansas,CLARK,05019,7876,0.458136798,6750,13465,24000,37470,60500,23982,3830,9927,18256,29597,58300,91654,0.0321,0.08277,0.15222,0.24678,0.48612,0.19106
Arkansas,CLAY,05021,7482,0.458665651,6870,12785,19665,30500,51200,21624,4053,9448,16226,24858,53536,98470,0.03812,0.08733,0.14997,0.22976,0.49483,0.22754
Arkansas,CLEBURNE,05023,7993,0.428987117,8565,15595,23410,33780,61275,24201,4926,11884,19271,27768,57154,99349,0.04179,0.0981,0.15909,0.22922,0.4718,0.20503
Arkansas,CLEVELAND,05025,2823,0.435987223,7430,15145,25000,39000,62430,24731,4219,10878,19717,31660,57181,84838,0.03412,0.08797,0.15945,0.25603,0.46242,0.17152
Arkansas,COLUMBIA,05027,9617,0.475372816,6635,14360,23140,38000,65090,24848,3374,10147,18531,29904,62286,102493,0.02733,0.08165,0.14913,0.24065,0.50124,0.2062
Arkansas,CONWAY,05029,7155,0.413075779,8050,15550,24900,36500,58400,24249,4801,11644,20238,30253,54308,81485,0.04004,0.096,0.16684,0.24941,0.44772,0.16794
Arkansas,CRAIGHEAD,05031,26322,0.466236556,8935,17500,27300,40500,71000,29376,4899,13168,22160,33285,73366,137641,0.03343,0.08965,0.15086,0.2266,0.49946,0.23426
Arkansas,CRAWFORD,05033,15266,0.415720486,9715,17600,25840,38310,62600,26718,5814,13551,21615,31282,61328,101601,0.04354,0.10143,0.1618,0.23416,0.45907,0.19013
Arkansas,CRITTENDEN,05035,17162,0.46134648,7595,15910,26885,40000,66510,27104,4255,11641,20914,32638,66071,116302,0.03146,0.08589,0.15432,0.24082,0.48751,0.21454
Arkansas,CROSS,05037,6735,0.455010973,7265,14995,23000,37800,63650,24800,4271,10826,18903,29529,60468,102520,0.03493,0.08727,0.15237,0.23802,0.48741,0.20659
Arkansas,DALLAS,05039,3609,0.468844033,7055,13525,23425,35000,64300,23912,3644,10162,17778,28228,59749,99654,0.03061,0.08498,0.14868,0.23607,0.49967,0.20835
Arkansas,DESHA,05041,6039,0.507807345,5460,11470,20715,36625,67200,23461,3013,8239,15728,27733,62593,104479,0.02585,0.07023,0.13405,0.23637,0.5335,0.22263
Arkansas,DREW,05043,6366,0.450717345,7400,14500,23320,37000,62000,24550,4490,10646,18739,29178,59697,96593,0.03664,0.08673,0.15265,0.23768,0.4863,0.19672
Arkansas,FAULKNER,05045,21193,0.398907185,10565,19000,28500,41600,64200,28064,5764,14827,23647,34745,61338,92727,0.04119,0.10565,0.1685,0.24758,0.43708,0.16519
Arkansas,FRANKLIN,05047,5652,0.434893907,7200,15000,22350,34500,58800,23112,3955,11025,18414,27658,54509,86147,0.03525,0.0953,0.15917,0.23908,0.47119,0.18617
Arkansas,FULTON,05049,4019,0.463143696,6630,11350,18000,28500,49855,20390,4125,8858,14754,22784,51431,94520,0.04046,0.08689,0.14472,0.22348,0.50446,0.23178
Arkansas,GARLAND,05051,30823,0.463776286,8300,15600,25000,39275,69000,27035,4599,11828,20185,31384,67178,119530,0.03413,0.08749,0.14931,0.23215,0.49693,0.22104
Arkansas,GRANT,05053,5118,0.402122343,9005,19365,30070,44000,64550,27961,5019,14016,24287,36417,60067,86277,0.03612,0.10023,0.17368,0.26042,0.42954,0.15424
Arkansas,GREENE,05055,12468,0.435885433,8065,15100,23750,35260,61000,24772,4897,11664,19737,28954,58608,102821,0.03963,0.09416,0.15933,0.23374,0.47314,0.20751
Arkansas,HEMPSTEAD,05057,8217,0.441477413,7300,12900,21460,33310,56000,22192,4217,10174,16995,26596,52975,87182,0.0381,0.09169,0.15315,0.23968,0.47739,0.19641
Arkansas,HOT SPRING,05059,10148,0.426799253,7630,15250,23320,35000,55985,23290,4017,11171,19180,28759,53323,82620,0.03462,0.09592,0.16468,0.24693,0.45784,0.17735
Arkansas,HOWARD,05061,5032,0.424730675,8415,16100,26000,38850,66615,25648,4770,12092,21138,31457,58782,91723,0.03736,0.09428,0.1648,0.24526,0.4583,0.17878
Arkansas,INDEPENDENCE,05063,11889,0.457718367,8460,16000,25060,38475,63500,27130,4939,12301,20321,31197,66895,123356,0.03646,0.09068,0.14979,0.22996,0.49311,0.22733
Arkansas,IZARD,05065,4713,0.416621634,7740,13535,20400,30345,50000,21135,4617,10700,16994,24841,48523,82234,0.04392,0.10123,0.16078,0.23501,0.45906,0.1945
Arkansas,JACKSON,05067,7405,0.476430728,6370,12530,20730,33300,57700,22859,3806,9260,16621,26567,58042,103147,0.03352,0.081,0.14538,0.23238,0.50771,0.22556
Arkansas,JEFFERSON,05069,29955,0.462764393,7200,16000,26660,42500,69000,27246,3586,11368,21290,34049,65937,104506,0.02646,0.08344,0.15626,0.2499,0.48395,0.19176
Arkansas,JOHNSON,05071,6999,0.424592533,8275,14330,21795,33600,58000,22992,4719,11236,18081,27437,53485,88212,0.04176,0.09767,0.15717,0.23849,0.46491,0.19169
Arkansas,LAFAYETTE,05073,3534,0.495844843,5415,10000,19000,32195,63285,20536,2835,7599,13886,24667,53691,85411,0.02787,0.07399,0.1352,0.24018,0.52277,0.2079
Arkansas,LAWRENCE,05075,6850,0.457169218,6710,11640,19985,30305,50240,20685,3769,8875,15396,24834,50553,87249,0.03696,0.08576,0.14877,0.23999,0.48852,0.21078
Arkansas,LEE,05077,4647,0.505659897,4870,9420,14985,25900,50345,18330,3176,6983,11865,19738,49889,93321,0.03466,0.07619,0.12945,0.21536,0.54434,0.25456
Arkansas,LINCOLN,05079,3835,0.482562162,6020,14045,23590,36800,57100,24611,3307,9688,18491,29462,62108,112213,0.02743,0.07868,0.15018,0.23929,0.50442,0.22784
